iter	Passed	Remaining
587	10500	7357
588	10517	7339
589	10536	7321
590	10554	7304
591	10571	7285
592	10588	7267
593	10605	7249
594	10623	7231
595	10641	7213
596	10659	7195
597	10676	7177
598	10693	7158
599	10710	7140
600	10731	7124
601	10749	7106
602	10766	7088
603	10783	7069
604	10799	7051
605	10817	7033
606	10834	7014
607	10851	6996
608	10869	6978
609	10885	6959
610	10902	6941
611	10918	6922
612	10935	6903
613	10952	6885
614	10968	6866
615	10985	6848
616	11002	6829
617	11018	6810
618	11036	6792
619	11052	6774
620	11069	6756
621	11086	6737
622	11104	6719
623	11126	6704
624	11146	6688
625	11164	6670
626	11184	6653
627	11203	6636
628	11223	6619
629	11242	6602
630	11259	6584
631	11278	6567
632	11295	6549
633	11313	6530
634	11329	6512
635	11346	6494
636	11365	6476
637	11382	6458
638	11400	6440
639	11420	6423
640	11437	6405
641	11456	6388
642	11473	6369
643	11490	6351
644	11510	6334
645	11528	6317
646	11545	6299
647	11563	6281
648	11580	6263
649	11597	6244
650	11614	6226
651	11632	6208
652	11649	6190
653	11667	6172
654	11685	6154
655	11704	6137
656	11722	6119
657	11740	6102
658	11757	6083
659	11774	6065
660	11792	6047
661	11810	6030
662	11828	6012
663	11846	5994
664	11864	5976
665	11882	5958
666	11900	5941
667	11920	5924
668	11939	5907
669	11957	5889
670	11976	5872
671	11995	5854
672	12014	5837
673	12035	5821
674	12056	5804
675	12076	5788
676	12096	5771
677	12116	5754
678	12136	5737
679	12154	5719
680	12175	5703
681	12193	5685
682	12212	5668
683	12231	5650
684	12249	5632
685	12269	5616
686	12288	5598
687	12310	5582
688	12328	5564
689	12346	5546
690	12365	5529
691	12383	5511
692	12401	5494
693	12421	5476
694	12440	5459
695	12459	5442
696	12476	5423
697	12495	5406
698	12512	5388
699	12529	5369
700	12547	5351
701	12565	5333
702	12583	5316
703	12601	5298
704	12618	5280
705	12636	5262
706	12653	5244
707	12671	5226
708	12689	5208
709	12711	5192
710	12730	5174
711	12748	5156
712	12766	5138
713	12784	5121
714	12801	5102
715	12820	5085
716	12838	5067
717	12857	5049
718	12874	5031
719	12892	5013
720	12910	4996
721	12929	4978
722	12947	4960
723	12964	4942
724	12982	4924
725	12999	4906
726	13017	4888
727	13035	4870
728	13053	4852
729	13070	4834
730	13088	4816
731	13109	4799
732	13127	4781
733	13143	4763
734	13163	4745
735	13182	4728
736	13200	4710
737	13217	4692
738	13235	4674
739	13252	4656
740	13269	4638
741	13286	4619
742	13303	4601
743	13321	4583
744	13338	4565
745	13357	4547
746	13375	4529
747	13392	4511
748	13410	4494
749	13428	4476
750	13446	4458
751	13463	4440
752	13480	4421
753	13501	4404
754	13518	4386
755	13535	4368
756	13553	4350
757	13570	4332
758	13587	4314
759	13604	4296
760	13622	4278
761	13639	4260
762	13656	4241
763	13673	4223
764	13689	4205
765	13706	4187
766	13724	4169
767	13741	4151
768	13759	4133
769	13778	4115
770	13795	4097
771	13814	4079
772	13832	4062
773	13852	4044
774	13869	4026
775	13889	4009
776	13906	3991
777	13923	3973
778	13940	3954
779	13958	3937
780	13975	3919
781	13993	3901
782	14010	3882
783	14027	3864
784	14045	3846
785	14062	3828
786	14080	3810
787	14098	3792
788	14116	3775
789	14134	3757
790	14152	3739
791	14171	3721
792	14189	3703
793	14207	3685
794	14224	3667
795	14255	3653
796	14273	3635
797	14292	3617
798	14309	3599
799	14327	3581
800	14344	3563
801	14362	3545
802	14379	3527
803	14397	3509
804	14415	3492
805	14433	3473
806	14451	3456
807	14469	3438
808	14488	3420
809	14504	3402
810	14521	3384
811	14539	3366
812	14556	3348
813	14572	3329
814	14589	3311
815	14605	3293
816	14622	3275
817	14639	3257
818	14657	3239
819	14677	3221
820	14694	3203
821	14711	3185
822	14728	3167
823	14745	3149
824	14762	3131
825	14779	3113
826	14797	3095
827	14818	3078
828	14837	3060
829	14855	3042
830	14873	3024
831	14890	3006
832	14909	2988
833	14926	2971
834	14945	2953
835	14963	2935
836	14980	2917
837	14999	2899
838	15017	2881
839	15036	2864
840	15053	2846
841	15074	2828
842	15092	2810
843	15110	2792
844	15129	2775
845	15147	2757
846	15167	2739
847	15185	2721
848	15204	2704
849	15223	2686
850	15241	2668
851	15259	2650
852	15276	2632
853	15294	2614
854	15312	2596
855	15330	2578
856	15347	2560
857	15365	2542
858	15382	2524
859	15400	2507
860	15417	2488
861	15433	2470
862	15451	2452
863	15471	2435
864	15488	2417
865	15505	2399
866	15522	2381
867	15540	2363
868	15558	2345
869	15575	2327
870	15592	2309
871	15610	2291
872	15628	2273
873	15646	2255
874	15663	2237
875	15681	2219
876	15699	2201
877	15716	2183
878	15733	2165
879	15750	2147
880	15768	2129
881	15786	2112
882	15803	2094
883	15820	2076
884	15838	2058
885	15858	2040
886	15876	2022
887	15893	2004
888	15910	1986
889	15928	1968
890	15945	1950
891	15962	1932
892	15979	1914
893	15997	1896
894	16015	1878
895	16033	1861
896	16050	1843
897	16068	1825
898	16086	1807
899	16102	1789
900	16120	1771
